"MatchID","LeagueCode","Result","ModelPick","MarketFavorite","Correct","ActualUpset","AIScore","Confidence","UpsetIndex"
"FAI-608b5d2d97fd9fdfb9675d73","FD_G1","A","H","H","False","True","48.8638712975122","46","51.1361287024878"
"FAI-44914ce772977248adf649f2","FD_G1","A","H","H","False","True","48.2919922233523","42","51.7080077766477"
"FAI-f4c5e79e979d3a51351d4103","FD_G1","D","H","H","False","True","39.9870841245343","10","60.0129158754657"
"FAI-46d2828c4f101ec8a92d6ca0","FD_G1","H","H","H","True","False","44.0042918190989","28","55.9957081809011"
"FAI-93b4fa3cea6e3f43639f0853","FD_G1","H","A","H","False","False","37.6075728762683","6","65.5510816505642"
"FAI-d80c548035964c3d974b7cc5","FD_G1","H","H","H","True","False","40.5861603519372","14","59.4138396480628"
"FAI-a253394eb1a4fda12302e0f0","FD_G1","H","H","H","True","False","41.2129172073372","18","58.7870827926628"
"FAI-e1c06db36b83dae867f84196","FD_G1","D","A","H","False","True","41.531865153766","16","66.3399755937172"
"FAI-5f6e9b093f9ce882443ce12b","FD_G1","D","H","H","False","True","46.1340597159403","37","53.8659402840597"
"FAI-f2b5f58f54b79084bd1ef779","FD_G1","A","H","H","False","True","38.6363654653389","6","61.3636345346611"
"FAI-0917ba979687377019f6f66d","FD_G1","H","H","H","True","False","54.1529869767885","57","45.8470130232115"
"FAI-09f434f4e40ddb61b18073ff","FD_G1","H","H","H","True","False","55.0022965295897","62","44.9977034704103"
"FAI-f7745eff5e9d5f71ff0ea435","FD_G1","H","H","H","True","False","47.2300993676007","42","52.7699006323993"
"FAI-9c6536fdc194fc0dfa993230","FD_G1","H","H","H","True","False","58.9669163043602","77","41.0330836956398"
"FAI-a5b4ad2650c724b4f7f163e4","FD_G1","H","A","A","False","True","47.0660395667665","34","52.9339604332335"
"FAI-be81cf41cfa2318311430f7b","FD_G1","D","H","A","False","True","37.4197311976308","7","66.277925599804"
"FAI-e0f28f6bfa0938df8873c8a9","FD_G1","A","H","H","False","True","42.6438091453831","20","57.3561908546169"
"FAI-5ba2013d10c88ec58072be3a","FD_G1","A","H","H","False","True","44.0042918190989","28","55.9957081809011"
