match_id,home_recent_games,home_recent_goals,home_recent_conceded,home_recent_wins,home_recent_draws,home_recent_losses,away_recent_games,away_recent_goals,away_recent_conceded,away_recent_wins,away_recent_draws,away_recent_losses
2010-06-27_Germany_England,10,18,9,7,0,3,8,8,3,4,4,0
2010-06-27_Argentina_Mexico,8,18,4,6,2,0,7,8,7,2,2,3
2010-06-28_Netherlands_Slovakia,10,17,7,7,1,2,3,4,5,1,1,1
2010-06-28_Brazil_Chile,8,15,4,6,1,1,3,3,2,2,0,1
2010-06-29_Paraguay_Japan,6,5,3,2,2,2,6,6,9,2,1,3
2010-06-29_Spain_Portugal,10,17,8,7,1,2,10,17,8,4,3,3
2010-07-02_Netherlands_Brazil,10,17,7,7,1,2,9,18,4,7,1,1
2010-07-02_Uruguay_Ghana,4,6,1,3,1,0,8,8,9,4,1,3
2010-07-03_Germany_Argentina,10,19,9,7,0,3,9,21,5,7,2,0
2010-07-03_Paraguay_Spain,7,5,3,2,3,2,10,17,5,8,1,1
2010-07-06_Uruguay_Netherlands,5,7,2,3,2,0,10,19,8,8,0,2
2010-07-07_Germany_Spain,10,21,9,7,0,3,10,14,4,8,1,1
2010-07-10_Germany_Uruguay,10,20,8,7,0,3,6,9,5,3,2,1
2010-07-11_Netherlands_Spain,10,22,9,9,0,1,10,13,3,8,1,1
2012-06-08_Poland_Greece,6,3,8,1,1,4,6,3,10,1,0,5
2012-06-08_Russia_Czech Republic,5,7,8,3,0,2,6,7,10,2,0,4
2012-06-09_Netherlands_Denmark,10,19,10,8,0,2,3,3,6,1,0,2
2012-06-09_Germany_Portugal,10,22,10,7,0,3,10,17,9,4,2,4
2012-06-10_Spain_Italy,10,12,2,8,1,1,10,13,10,3,5,2
2012-06-10_Ireland_Croatia,0,0,0,0,0,0,7,7,5,3,3,1
2012-06-11_France_England,10,8,12,3,3,4,9,9,7,4,4,1
2012-06-11_Ukraine_Sweden,5,5,7,2,1,2,7,6,8,2,2,3
2012-06-12_Greece_Czech Republic,7,4,11,1,1,5,7,8,14,2,0,5
2012-06-12_Poland_Russia,7,4,9,1,2,4,6,11,9,4,0,2
2012-06-13_Denmark_Portugal,4,4,6,2,0,2,10,17,9,4,2,4
2012-06-13_Netherlands_Germany,10,15,10,7,0,3,10,20,8,7,0,3
2012-06-14_Italy_Croatia,10,11,11,2,6,2,8,10,6,4,3,1
2012-06-14_Spain_Ireland,10,13,3,8,1,1,1,1,3,0,0,1
2012-06-15_Sweden_England,8,7,10,2,2,4,10,10,8,4,5,1
2012-06-15_Ukraine_France,6,7,8,3,1,2,10,6,12,2,4,4
2012-06-16_Czech Republic_Poland,8,10,15,3,0,5,8,5,10,1,3,4
2012-06-16_Greece_Russia,8,5,13,1,1,6,7,12,10,4,1,2
2012-06-17_Portugal_Netherlands,10,19,8,5,2,3,10,14,12,6,0,4
2012-06-17_Denmark_Germany,5,6,9,2,0,3,10,19,7,7,0,3
2012-06-18_Croatia_Spain,9,11,7,4,4,1,10,14,3,8,1,1
2012-06-18_Italy_Ireland,10,10,12,1,7,2,2,1,7,0,0,2
2012-06-19_England_Ukraine,10,12,10,4,5,1,7,7,10,3,1,3
2012-06-19_Sweden_France,9,9,13,2,2,5,10,7,12,2,4,4
2012-06-21_Czech Republic_Portugal,9,11,15,4,0,5,10,19,9,5,2,3
2012-06-21_Germany_Greece,10,21,7,8,0,2,9,6,13,2,1,6
2012-06-22_Spain_France,10,14,3,8,1,1,10,6,14,1,4,5
2012-06-22_England_Italy,10,11,10,4,5,1,10,11,11,2,6,2
2012-06-27_Portugal_Spain,10,17,8,5,2,3,10,16,2,9,1,0
2012-06-28_Germany_Italy,10,21,9,8,0,2,10,11,8,2,7,1
2012-07-01_Spain_Italy,10,14,2,8,2,0,10,12,8,3,6,1
2014-06-12_Brazil_Croatia,10,19,6,7,1,2,10,11,8,4,4,2
2014-06-13_Mexico_Cameroon,8,9,10,2,2,4,3,2,5,0,0,3
2014-06-13_Spain_Netherlands,10,16,1,8,2,0,10,14,11,6,0,4
2014-06-13_Chile_Australia,4,3,5,2,0,2,7,8,12,2,2,3
2014-06-14_Colombia_Greece,0,0,0,0,0,0,10,8,17,2,1,7
2014-06-14_Uruguay_Costa Rica,7,11,8,3,2,2,3,3,9,0,0,3
2014-06-14_England_Italy,10,9,8,4,5,1,10,10,12,2,6,2
2014-06-14_Ivory Coast_Japan,6,9,9,2,1,3,7,6,9,2,2,3
2014-06-15_Switzerland_Ecuador,10,6,6,3,3,4,4,5,4,2,0,2
2014-06-15_France_Honduras,10,5,15,1,3,6,3,0,3,0,1,2
2014-06-15_Argentina_Bosnia and Herzegovina,10,21,9,7,2,1,0,0,0,0,0,0
2014-06-16_Germany_Portugal,10,22,10,8,0,2,10,15,8,4,3,3
2014-06-16_Iran_Nigeria,3,2,6,0,1,2,3,3,5,0,1,2
2014-06-16_Ghana_USA,9,9,10,4,2,3,7,7,11,1,3,3
2014-06-17_Belgium_Algeria,0,0,0,0,0,0,3,0,2,0,1,2
2014-06-17_Brazil_Mexico,10,21,7,7,1,2,9,10,10,3,2,4
