match_id,home_team_id,away_team_id,league_id,b365_home,b365_draw,b365_away,home_goals,away_goals
RIZ_SIV_20210227,RIZ,SIV,Turkey Super Lig 2020-21,2.9,3.0,2.37,0,0
GAL_ERZ_20210227,GAL,ERZ,Turkey Super Lig 2020-21,1.33,4.5,7.5,2,0
GOZ_KAS_20210228,GOZ,KAS,Turkey Super Lig 2020-21,2.1,3.5,3.0,1,0
TRA_FEN_20210228,TRA,FEN,Turkey Super Lig 2020-21,3.0,3.2,2.25,0,1
GAZ_GEN_20210302,GAZ,GEN,Turkey Super Lig 2020-21,1.7,3.75,4.75,2,1
YEN_BES_20210302,YEN,BES,Turkey Super Lig 2020-21,5.25,4.0,1.6,0,1
ERZ_KAR_20210303,ERZ,KAR,Turkey Super Lig 2020-21,2.87,3.2,2.5,2,2
BUY_KON_20210303,BUY,KON,Turkey Super Lig 2020-21,2.0,3.5,3.6,1,1
SIV_HAT_20210303,SIV,HAT,Turkey Super Lig 2020-21,2.25,3.2,3.25,1,1
ANK_GAL_20210303,ANK,GAL,Turkey Super Lig 2020-21,6.0,4.75,1.45,2,1
KAY_RIZ_20210303,KAY,RIZ,Turkey Super Lig 2020-21,2.3,3.2,3.1,2,1
ALA_GOZ_20210304,ALA,GOZ,Turkey Super Lig 2020-21,1.8,3.75,4.2,1,1
KAS_TRA_20210304,KAS,TRA,Turkey Super Lig 2020-21,3.3,3.7,2.0,1,2
FEN_ANT_20210304,FEN,ANT,Turkey Super Lig 2020-21,1.4,4.5,6.5,1,1
DEN_YEN_20210306,DEN,YEN,Turkey Super Lig 2020-21,2.3,3.2,3.0,3,2
BES_GAZ_20210306,BES,GAZ,Turkey Super Lig 2020-21,1.36,5.25,7.5,2,1
KAR_ANK_20210307,KAR,ANK,Turkey Super Lig 2020-21,1.75,3.6,4.75,0,1
GEN_BUY_20210307,GEN,BUY,Turkey Super Lig 2020-21,3.8,3.8,1.83,0,1
HAT_KAY_20210307,HAT,KAY,Turkey Super Lig 2020-21,1.72,3.5,5.0,1,3
GAL_SIV_20210307,GAL,SIV,Turkey Super Lig 2020-21,1.65,3.75,5.25,2,2
ANT_KAS_20210308,ANT,KAS,Turkey Super Lig 2020-21,2.15,3.3,3.4,1,1
TRA_ALA_20210308,TRA,ALA,Turkey Super Lig 2020-21,1.95,3.5,3.8,1,3
GOZ_ERZ_20210308,GOZ,ERZ,Turkey Super Lig 2020-21,1.9,3.5,4.0,3,1
KON_FEN_20210308,KON,FEN,Turkey Super Lig 2020-21,3.9,3.75,1.85,0,3
BUY_BES_20210312,BUY,BES,Turkey Super Lig 2020-21,4.33,3.6,1.8,2,3
SIV_KAR_20210313,SIV,KAR,Turkey Super Lig 2020-21,2.1,3.3,3.2,1,0
ALA_ANT_20210313,ALA,ANT,Turkey Super Lig 2020-21,1.65,3.6,4.5,4,0
RIZ_HAT_20210313,RIZ,HAT,Turkey Super Lig 2020-21,3.0,3.3,2.3,1,0
KAY_GAL_20210313,KAY,GAL,Turkey Super Lig 2020-21,5.0,4.0,1.6,0,3
ANK_GOZ_20210314,ANK,GOZ,Turkey Super Lig 2020-21,2.8,3.2,2.25,3,0
ERZ_TRA_20210314,ERZ,TRA,Turkey Super Lig 2020-21,4.2,3.0,2.0,0,0
GAZ_DEN_20210314,GAZ,DEN,Turkey Super Lig 2020-21,1.8,3.3,4.0,2,0
FEN_GEN_20210314,FEN,GEN,Turkey Super Lig 2020-21,1.22,5.5,11.0,1,2
KAS_KON_20210315,KAS,KON,Turkey Super Lig 2020-21,2.37,3.0,2.9,1,1
KAR_KAY_20210319,KAR,KAY,Turkey Super Lig 2020-21,1.65,4.0,4.75,3,0
GAL_RIZ_20210319,GAL,RIZ,Turkey Super Lig 2020-21,1.3,5.0,10.0,3,4
GEN_KAS_20210320,GEN,KAS,Turkey Super Lig 2020-21,3.0,3.2,2.35,2,1
GOZ_SIV_20210320,GOZ,SIV,Turkey Super Lig 2020-21,2.45,3.25,2.8,3,5
YEN_GAZ_20210320,YEN,GAZ,Turkey Super Lig 2020-21,2.2,3.3,3.2,2,2
TRA_ANK_20210320,TRA,ANK,Turkey Super Lig 2020-21,1.55,3.8,6.0,4,1
ANT_ERZ_20210321,ANT,ERZ,Turkey Super Lig 2020-21,2.3,3.3,3.0,3,1
KON_ALA_20210321,KON,ALA,Turkey Super Lig 2020-21,3.0,3.3,2.3,1,0
