"RelativePath","Extension","Bytes","LastWriteUtc","Sha256","ArchiveStatus"
"2026-07-15\argentina_2021.csv","csv","1271","2026-06-20T15:35:11.0000000Z","008bc8052e2323d4f892dc397bad94bc4fa61295619923fea932915948939c50","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\argentina_2023_24.csv","csv","1271","2026-06-20T15:24:36.0000000Z","008bc8052e2323d4f892dc397bad94bc4fa61295619923fea932915948939c50","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\argentina_2024_25.csv","csv","1271","2026-06-20T15:24:14.0000000Z","008bc8052e2323d4f892dc397bad94bc4fa61295619923fea932915948939c50","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\australia_2023_24.csv","csv","1271","2026-06-20T15:24:37.0000000Z","008bc8052e2323d4f892dc397bad94bc4fa61295619923fea932915948939c50","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\australia_2024_25.csv","csv","1271","2026-06-20T15:24:14.0000000Z","008bc8052e2323d4f892dc397bad94bc4fa61295619923fea932915948939c50","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\austria_2020_21.csv","csv","1134","2026-06-20T15:40:47.0000000Z","ed66b2bdc64bb2f2dd2ca541cd7751aba2c3afb7f64d5eec9b0f8464e55576af","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\austria_2023_24.csv","csv","1134","2026-06-20T15:24:38.0000000Z","d9c5e2298026de222d0880c77094ac473ec7772ad70fb2bc5ed59aca6f76902c","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\austria_2024_25.csv","csv","1134","2026-06-20T15:24:16.0000000Z","543faf2f54479b0d81ff10ac5f8e13aabbec2464cc5c964fbe9b1561f1fbf09f","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\austria_test.csv","csv","1271","2026-06-20T15:48:10.0000000Z","008bc8052e2323d4f892dc397bad94bc4fa61295619923fea932915948939c50","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\B1_2122.csv","csv","138528","2026-06-20T15:40:53.0000000Z","1fbc0221c0c017c34ff480268b153959576b0c707dffbeaf3141819a7d8d4363","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\B1_2223.csv","csv","135378","2026-06-20T15:41:20.0000000Z","46737ea78b45a1fa6827b733a884c78f2610f37961781336ea7aa6dbfd64dcb4","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\belgium_2020_21.csv","csv","138909","2026-06-20T15:38:59.0000000Z","6e74a3f376c67b18bc40175aaf4d87b553ed8d10335ec48e6c0d805fd0117687","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\belgium_2023_24.csv","csv","136827","2026-06-20T15:24:37.0000000Z","379d10bd92cecba6349f043f0661e3548e16d8053b234a7cace7493acfb72144","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\belgium_2024_25.csv","csv","158659","2026-06-20T15:24:15.0000000Z","fcc3ec3a7bdd57ec42df76bb03aa1858ee18be88886a379f42b4c7b2e7f5d0eb","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\brazil_2021.csv","csv","1271","2026-06-20T15:35:08.0000000Z","008bc8052e2323d4f892dc397bad94bc4fa61295619923fea932915948939c50","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\brazil_2023_24.csv","csv","1271","2026-06-20T15:24:35.0000000Z","008bc8052e2323d4f892dc397bad94bc4fa61295619923fea932915948939c50","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\brazil_2024.csv","csv","572","2026-06-20T15:33:31.0000000Z","6f9c8d68399b7f8049e5539b883bb3d1aa6a981c9bd2f0151b88e9eab5aaa6a5","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\brazil_2024_25.csv","csv","1271","2026-06-20T15:24:14.0000000Z","008bc8052e2323d4f892dc397bad94bc4fa61295619923fea932915948939c50","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\bundesliga_2020_21.csv","csv","139075","2026-06-20T15:01:35.0000000Z","48ec5d53d2452b6ebdbc07bd78a836d6a4686f99fc020439ee3292e685315e61","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\bundesliga_2021_22.csv","csv","139177","2026-06-20T15:01:37.0000000Z","034d0e1296e944dddf25e3c91b85ef5bd1ad25661b89d73878f5c73bfea4b9fc","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\bundesliga_2022_23.csv","csv","139302","2026-06-20T14:41:34.0000000Z","b716517b25033ce8e0243e967aa961876425a4c41e97c8aa8fa59f2aca061341","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\bundesliga_2023_24.csv","csv","135825","2026-06-20T14:41:16.0000000Z","1de8bc12a133dbbf71bc6ffda62082642f087f61b1b7c15ae9f2d320876fb07e","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\bundesliga_2024_25.csv","csv","156414","2026-06-20T14:37:35.0000000Z","a295c58033cfe6393cbbc28f7db85671839b960c5f1153fd3678e20ad2adb92e","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\bundesliga_2025_26.csv","csv","159944","2026-06-20T14:41:58.0000000Z","618301a4b39918225a8ccc57f0f839d675e1abd92fa3a3ccd9a67acd7c79dd7f","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\C1_2122.csv","csv","83674","2026-06-20T15:41:12.0000000Z","c96943f36d02a85acf46ad76b63ab2c092d4975a3ba0453454458b940c57feeb","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\C1_2223.csv","csv","83969","2026-06-20T15:41:37.0000000Z","18fdb4c7ada45b98ea9e46af76f3700a7c3778058978c5db666f33e8fe04eda4","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\championship_2020_21.csv","csv","255966","2026-06-20T15:48:41.0000000Z","cf93295e310c60e5b97ae7466d772f8ec6a908ad401e38fceb7e8617369d5073","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\championship_2021_22.csv","csv","255881","2026-06-20T15:43:41.0000000Z","a181451be4801b9f838daf5f6aaf21e9f09d36042be9e6c15388e71001e772ea","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\championship_2022_23.csv","csv","255779","2026-06-20T15:43:43.0000000Z","cd38ab0586ea8cb4d573c363ff70749117f116da5b2741e5b0ea37da05860b1b","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\championship_2023_24.csv","csv","251182","2026-06-20T14:35:16.0000000Z","5737f6cc95c95092b28317f41d3123e2fb09345434efc1c84bbdf15830849ab3","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\championship_2024_25.csv","csv","286983","2026-06-20T14:34:51.0000000Z","f34c340446c916374be66bdc2fb25b87ee7f2662712ca009653d03ac705535f9","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\cri_predictions.csv","csv","890","2026-06-19T12:06:59.0000000Z","0a13c9f829a1b5d192df1ea83eb77719b1301df26506bc636096be22fe74af09","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\czech_2020_21.csv","csv","62528","2026-06-20T15:39:28.0000000Z","8c4f8b4e05c93b2221bb57b418df98ae9a2ac12941f5674dc43412fe6fe0ae2c","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\czech_2023_24.csv","csv","81995","2026-06-20T15:24:36.0000000Z","065052238cf671dfcec9088c7ff4c5134404281fa4ec4af2b453121d5d450919","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\czech_2024_25.csv","csv","93788","2026-06-20T15:24:15.0000000Z","b143cf1d7b88c785fdd08b7ed6c4b9c09198cb8371ccbb0341a0f5b15a6e8328","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\D1_2122.csv","csv","139177","2026-06-20T15:40:57.0000000Z","034d0e1296e944dddf25e3c91b85ef5bd1ad25661b89d73878f5c73bfea4b9fc","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\D1_2223.csv","csv","139302","2026-06-20T15:41:22.0000000Z","b716517b25033ce8e0243e967aa961876425a4c41e97c8aa8fa59f2aca061341","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\data_completeness_report.md","md","3985","2026-06-22T16:20:32.0000000Z","614a0117f1d26d8d6423077564854af5a1ad9238936bf5e3f970b663ab957d9d","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\data_coverage.csv","csv","1755","2026-06-22T06:26:52.0000000Z","44b6ea24118370a75052a955f3d5d876623f6c1a3f7b8ea25f1bd996fb00a16d","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\denmark_2020_21.csv","csv","139075","2026-06-20T15:39:02.0000000Z","48ec5d53d2452b6ebdbc07bd78a836d6a4686f99fc020439ee3292e685315e61","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\denmark_2023_24.csv","csv","135825","2026-06-20T15:24:37.0000000Z","1de8bc12a133dbbf71bc6ffda62082642f087f61b1b7c15ae9f2d320876fb07e","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\denmark_2024_25.csv","csv","156414","2026-06-20T15:24:14.0000000Z","a295c58033cfe6393cbbc28f7db85671839b960c5f1153fd3678e20ad2adb92e","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\epl_2020_21.csv","csv","175815","2026-06-20T15:01:11.0000000Z","5afe63f69401457b8354eaacee24f9a3e520b3c3af6329564a9783e20d789c62","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\epl_2021_22.csv","csv","175363","2026-06-20T15:01:14.0000000Z","335afcbabeb2939fa10ab39ba3e8215072d0b577cb8d0705c1e44c56e934e703","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\epl_2022_23.csv","csv","176180","2026-06-20T14:41:28.0000000Z","8442792d3b614c94ea3cf381bd2736805889cc1713169035368fff19c3d02380","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\epl_2023_24.csv","csv","172196","2026-06-20T14:41:08.0000000Z","b2e057b0ed959f198b0f63d2391c01239f3608e6de5db68edab3f88e04d07ff3","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\epl_2024_25.csv","csv","197110","2026-06-20T14:37:26.0000000Z","d0c8ce4a96d886cf60cf101f570f4a3893844226f91c7bd769eb568c49edbfa4","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\epl_2025_26.csv","csv","203438","2026-06-20T14:41:50.0000000Z","3e3a8352f9ada6789c508d6ca184424421fed56a30400904a4a327c583407e62","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\fifa_rankings.csv","csv","1627","2026-06-22T06:26:52.0000000Z","6576619bf2fab05bb9c31ec671b85b6ed0df2f44dd819b0dac6baed3014de0f7","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\file_1_new.md","md","25792","2026-06-19T10:11:38.0000000Z","1573873552747a64d738d351b0f8555ca12699d780e53f0fd9e036fa2bfa493b","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\file_2_new.md","md","18414","2026-06-19T10:11:38.0000000Z","c9c2daf5920db5a440c952885eb515499a225ff98b428a6a79249c402f06cb11","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\file_3_new.md","md","16952","2026-06-19T10:11:38.0000000Z","2a2e5a472266a47cdbbbb8326b73324e979c8c51026551204e75143ede3e460f","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\file_4_new.md","md","4879","2026-06-19T10:11:38.0000000Z","492ae815228805353e67dee38fe5d6c0b09c3fccfece22d153846093047d4de9","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\file_5_new.md","md","77312","2026-06-19T10:11:38.0000000Z","c135d049d72a7dccae7d7087d114fe5073907a932cf434140b020e47d2400e02","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\file_6_new.md","md","16315","2026-06-19T10:11:38.0000000Z","65364a63377cca3a7bf37a4ce5f3afd7174b5128d56cf2a5426b2bfccfea7420","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\football_analyst_report.md","md","18382","2026-06-19T15:02:01.0000000Z","bd1ecd71818cb3e07c3c83baf0de219a22f81dce37157de3fa5aad34ba527774","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\framework_complete_v1.tar.gz","gz","5723199","2026-06-24T08:11:37.0000000Z","26318686aef81bf4422ab2b67d82908768d6a55003c92eff03b3d3f002ce5d8b","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\framework_data_package.tar.gz","gz","1294070","2026-06-24T07:56:27.0000000Z","31a6d34ef44c28dd020c963d585543ffe21c9a6deeec1fa2716c089130a74e1e","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\fw_file_01.md","md","1919","2026-06-23T20:25:04.0000000Z","ec7fc1c644673a935becf9002ba9c2598262d3123e1952ab5c56ba5b66031b7b","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\fw_file_05.md","md","1137","2026-06-23T20:25:04.0000000Z","dae2c5aa760e11178c1871e1652486e0f16397c65c303e123005dae895b88990","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\G1_2122.csv","csv","107981","2026-06-20T15:41:06.0000000Z","073d2d32a6ef02098cf58cdf214acc29616f3c798186500b42b8417a300e77c0","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\G1_2223.csv","csv","108399","2026-06-20T15:41:32.0000000Z","2b24e7a37d96ce56cae2e3e728b3d8f29cf12dfaa9188a10f239331d776e4495","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\greece_2020_21.csv","csv","107072","2026-06-20T15:39:17.0000000Z","311c5af3fe0e8b0edc6c7be2667f31927a9086e8f904a82f1097868ba070698a","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\greece_2023_24.csv","csv","105713","2026-06-20T15:24:37.0000000Z","2eccea871c9f845ce4078642f35730a6e8db83683a6d49472e9f204dd972813a","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\greece_2024_25.csv","csv","117759","2026-06-20T15:24:15.0000000Z","b0d0e4a3dc9054083763f205c808720c51cd55034282303e8a9f1d60be8321c9","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\h2h_final_report.md","md","3095","2026-06-22T16:20:32.0000000Z","e33171f890af3717da8287d3e7c8c9cb79c7367911942545cd82fb9d3075e40c","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\head_to_head_v2.csv","csv","2329188","2026-06-22T06:26:52.0000000Z","8962bbc0184b9ae3d3134c72bfb466ce5f57916e73c3dab9179e007f1e25822d","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\international_matches.csv","csv","365508","2026-06-22T06:26:52.0000000Z","94774161e5926cee150bd31df3f130fd29d4ed38d7abe48672f139ca26625728","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\japan_2021.csv","csv","1271","2026-06-20T15:35:02.0000000Z","008bc8052e2323d4f892dc397bad94bc4fa61295619923fea932915948939c50","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\japan_2023_24.csv","csv","1134","2026-06-20T15:24:36.0000000Z","6e5e940f488df163954089f0ce074e0c5a50df2ef821318458f6e9db8ace90bf","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\japan_2024.csv","csv","1271","2026-06-20T15:35:26.0000000Z","008bc8052e2323d4f892dc397bad94bc4fa61295619923fea932915948939c50","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\japan_2024_25.csv","csv","1134","2026-06-20T15:29:26.0000000Z","520ae453c4957c6fb5920c0aa463cfda2d920b49f39151c24357add09da4d525","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
"2026-07-15\japan_2324.csv","csv","1134","2026-06-20T15:33:57.0000000Z","6e5e940f488df163954089f0ce074e0c5a50df2ef821318458f6e9db8ace90bf","RETAINED_RAW_NOT_TRAINING_BY_DEFAULT"
