"Dataset","SourceMatchID","Status","Reasons"
"international_matches","2024-06-19_Scotland_Switzerland","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-20_Slovenia_Serbia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-20_Denmark_England","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-21_Slovakia_Ukraine","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-21_Poland_Austria","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-21_Netherlands_France","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-22_Georgia_Czech Republic","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-22_Turkey_Portugal","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-22_Belgium_Romania","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-23_Switzerland_Germany","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-23_Scotland_Hungary","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-24_Albania_Spain","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-24_Croatia_Italy","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-25_Netherlands_Austria","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-25_France_Poland","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-25_England_Slovenia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-25_Denmark_Serbia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-26_Slovakia_Romania","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-26_Ukraine_Belgium","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-26_Georgia_Portugal","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-26_Czech Republic_Turkey","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-29_Switzerland_Italy","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-29_Germany_Denmark","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-30_England_Slovakia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-30_Spain_Georgia","QUARANTINED","IMPLAUSIBLE_SHOTS|UNVERIFIABLE_SOURCE"
"international_matches","2024-07-01_France_Belgium","QUARANTINED","UNVERIFIABLE_SOURCE"
